performance_id,song_id,video_id,start_seconds,end_seconds,published_at
perf_0001,song_0001,NhGrb8nfxm8,808,1065,2025-12-27T14:47:25Z
perf_0002,song_0002,NhGrb8nfxm8,1087,1337,2025-12-27T14:47:25Z
perf_0003,song_0003,NhGrb8nfxm8,1347,1608,2025-12-27T14:47:25Z
perf_0004,song_0004,NhGrb8nfxm8,1625,1961,2025-12-27T14:47:25Z
perf_0005,song_0005,NhGrb8nfxm8,1976,2293,2025-12-27T14:47:25Z
perf_0006,song_0006,NhGrb8nfxm8,2717,2974,2025-12-27T14:47:25Z
perf_0007,song_0007,NhGrb8nfxm8,3040,3291,2025-12-27T14:47:25Z
perf_0008,song_0008,NhGrb8nfxm8,3334,3630,2025-12-27T14:47:25Z
perf_0009,song_0009,2t1agIpQuWM,1486,1721,2025-12-10T17:07:13Z
perf_0010,song_0010,2t1agIpQuWM,1778,2073,2025-12-10T17:07:13Z
perf_0011,song_0011,2t1agIpQuWM,2178,2444,2025-12-10T17:07:13Z
perf_0012,song_0012,2t1agIpQuWM,2485,2750,2025-12-10T17:07:13Z
perf_0013,song_0013,2t1agIpQuWM,2854,3161,2025-12-10T17:07:13Z
perf_0014,song_0014,2t1agIpQuWM,3416,3720,2025-12-10T17:07:13Z
perf_0015,song_0005,2t1agIpQuWM,3812,4133,2025-12-10T17:07:13Z
perf_0016,song_0015,2t1agIpQuWM,4254,4638,2025-12-10T17:07:13Z
perf_0017,song_0016,2t1agIpQuWM,4750,5060,2025-12-10T17:07:13Z
perf_0018,song_0017,2t1agIpQuWM,5113,5400,2025-12-10T17:07:13Z
perf_0019,song_0003,2t1agIpQuWM,5820,6116,2025-12-10T17:07:13Z
perf_0020,song_0001,2t1agIpQuWM,6148,6379,2025-12-10T17:07:13Z
perf_0021,song_0018,2t1agIpQuWM,6448,6761,2025-12-10T17:07:13Z
perf_0022,song_0019,2t1agIpQuWM,6819,7076,2025-12-10T17:07:13Z
perf_0023,song_0008,2t1agIpQuWM,7251,7543,2025-12-10T17:07:13Z
perf_0024,song_0020,2t1agIpQuWM,7650,8081,2025-12-10T17:07:13Z
perf_0025,song_0021,2t1agIpQuWM,8419,8739,2025-12-10T17:07:13Z
perf_0026,song_0022,2t1agIpQuWM,8873,9213,2025-12-10T17:07:13Z
perf_0027,song_0023,2t1agIpQuWM,9292,9607,2025-12-10T17:07:13Z
perf_0028,song_0024,oPnoS1kgUjM,773,1240,2025-11-14T17:10:20Z
perf_0029,song_0025,oPnoS1kgUjM,1240,1509,2025-11-14T17:10:20Z
perf_0030,song_0026,oPnoS1kgUjM,1509,1834,2025-11-14T17:10:20Z
perf_0031,song_0027,oPnoS1kgUjM,1834,2180,2025-11-14T17:10:20Z
perf_0032,song_0028,oPnoS1kgUjM,2180,2600,2025-11-14T17:10:20Z
perf_0033,song_0029,oPnoS1kgUjM,2600,2868,2025-11-14T17:10:20Z
perf_0034,song_0030,oPnoS1kgUjM,2868,2918,2025-11-14T17:10:20Z
perf_0035,song_0031,oPnoS1kgUjM,2918,3234,2025-11-14T17:10:20Z
perf_0036,song_0032,oPnoS1kgUjM,3234,3604,2025-11-14T17:10:20Z
perf_0037,song_0033,oPnoS1kgUjM,3604,4014,2025-11-14T17:10:20Z
perf_0038,song_0034,oPnoS1kgUjM,4014,4350,2025-11-14T17:10:20Z
perf_0039,song_0035,oPnoS1kgUjM,4350,4789,2025-11-14T17:10:20Z
perf_0040,song_0036,oPnoS1kgUjM,4789,5547,2025-11-14T17:10:20Z
perf_0041,song_0037,oPnoS1kgUjM,5547,5823,2025-11-14T17:10:20Z
perf_0042,song_0038,oPnoS1kgUjM,5823,6248,2025-11-14T17:10:20Z
perf_0043,song_0039,oPnoS1kgUjM,6248,6625,2025-11-14T17:10:20Z
perf_0044,song_0040,oPnoS1kgUjM,6625,6998,2025-11-14T17:10:20Z
perf_0045,song_0041,oPnoS1kgUjM,6998,7626,2025-11-14T17:10:20Z
perf_0046,song_0042,oPnoS1kgUjM,7626,7905,2025-11-14T17:10:20Z
perf_0047,song_0043,oPnoS1kgUjM,7905,8265,2025-11-14T17:10:20Z
