video_id,published_at,title,channel_title,duration,view_count,like_count
NhGrb8nfxm8,2025-12-27T14:47:25Z,【#歌枠】BUMPレディクレのセトリ順に歌います  singing stream - ミナミイズミ  #shorts #vsinger #karaoke,ミナミイズミ / IZUMI MINAMI,PT1H16M6S,8485,596
2t1agIpQuWM,2025-12-10T17:07:13Z,【#弾き語り】BUMPライブ、セトリ順に歌います！Sphery Rendezvous singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H57M44S,12428,1059
oPnoS1kgUjM,2025-11-14T17:10:20Z,【#弾き語り】amazarashiさんの曲を沢山歌います  singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H55M49S,10132,899
pnxeFZFreFU,2025-09-28T14:48:21Z,【#弾き語り】Galileo Galileiさんの曲を沢山歌います singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H28M58S,5380,489
zmo2hLXfBNU,2025-09-25T17:25:32Z,【#弾き語り】BUMPのライブに初めて行った日を辿る singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H15M33S,10576,724
ISFNqCgF9X8,2025-09-20T17:00:29Z,【#弾き語り】BUMP OF CHICKENをたっぷり歌う！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H13M52S,9116,751
qKisy4gc13A,2025-09-14T15:26:02Z,【#弾き語り】キタニタツヤさんの楽曲をたくさん歌います singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H16M51S,6637,614
qIM8iww9zQQ,2025-09-01T16:43:25Z,【#弾き語り】ヨルシカさん30曲歌います！ - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #karaoke #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H48S,14086,1131
2DyAXgJtpJM,2025-08-24T16:56:21Z,【#弾き語り】RADWIMPSさんの楽曲を歌う！ - singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger,ミナミイズミ / IZUMI MINAMI,PT2H32M49S,14468,839
BRYJKfmxHvY,2025-08-03T11:31:02Z,BUMP OF CHICKENを全曲弾き語りします -後編-  ミナミイズミ【orbital period ～ FLAME VEIN】 #RIOTMUSIC #vtuber #歌枠　※隠しトラック除く,ミナミイズミ / IZUMI MINAMI,PT7H8M25S,32871,1465
HlkqUKPevk4,2025-08-02T12:24:31Z,BUMP OF CHICKENを全曲弾き語りします -前編-  ミナミイズミ【Iris ～ COSMONAUT】 #RIOTMUSIC #shorts #vtuber #歌枠　※隠しトラック除く,ミナミイズミ / IZUMI MINAMI,PT7H44M43S,39865,1751
KnYyMnHPcPc,2025-07-17T13:31:55Z,【#弾き語り】amazarashiさんの楽曲をたくさん歌う！- singing stream - ミナミイズミ #RIOTMUSIC #shorts #vtuber #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H18M27S,14741,818
ZKQZXVh5MmE,2025-12-05T18:23:53Z,【#弾き語り】しっとり睡眠導入1曲聴いていきませんか？ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT4H15M55S,11909,1006
Jk1AaBW0SOU,2025-11-28T17:17:19Z,【#弾き語り】～睡眠導入～ 夜のおともに1曲聴いてってくださいsinging stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H12M1S,10822,903
fJAY9jz0Zr0,2025-11-27T10:22:35Z,【#弾き語り】続・男性アーティスト様縛り！1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H53M,6638,606
EoG2N8awjTc,2025-11-25T18:38:36Z,【#弾き語り】女性アーティスト様縛り！1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT4H23M53S,14845,1186
IXFwt4NO6mw,2025-11-21T17:18:12Z,【#弾き語り】ボカロいっぱい歌うよ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H9M2S,10370,953
DuWS2lO8tG8,2025-11-20T04:51:58Z,【#弾き語り】お昼1曲聴いてってください singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H41M33S,5049,500
1HHWmpgZDIY,2025-11-19T17:01:31Z,【#弾き語り】しっとり睡眠導入1曲聴いてってください singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H51M25S,7784,805
Xb6m25bDFqA,2025-11-19T00:20:53Z,【#弾き語り】おはよう！1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H13M22S,8058,579
tXCZzJKrK1U,2025-11-13T04:34:37Z,【#弾き語り】ランチタイム1曲聴いてってください！ singing stream - ミナミイズミ #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H27M59S,5791,533
1B-DdOF0h0w,2025-11-12T00:28:38Z,【#弾き語り】おはよう！1曲聴いてってください！ singing stream - ミナミイズミ#shorts #vsinger #歌枠 #朝活,ミナミイズミ / IZUMI MINAMI,PT2H24M54S,7554,728
hbYTW2Shn8M,2025-11-07T17:37:47Z,【#弾き語り】アニソンたくさん歌う！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT3H30M54S,14537,1212
cKsSnnauSb8,2025-11-05T00:12:08Z,【#弾き語り】おはよう。1曲聴いてってください！ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT2H8M4S,8786,731
uoYi0ljk7-A,2025-10-30T12:43:20Z,【#弾き語り】1曲聴いてってください♪夕方オールジャンル帰り道のおともに singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT4H29M23S,17083,1303
XoB6JwaXaXQ,2025-10-29T14:00:55Z,【#弾き語り】ONE PIECE楽曲！仲間にならないか？ singing stream - ミナミイズミ #RIOTMUSIC #shorts #vsinger #歌枠,ミナミイズミ / IZUMI MINAMI,PT1H42M29S,5540,522
