song_name,artist,play_count
天体観測,BUMP OF CHIKEN,24
アカシア,BUMP OF CHICKEN,23
怪獣,サカナクション,18
車輪の唄,BUMP OF CHICKEN,17
季節は次々死んでいく,amazarashi,17
雨とカプチーノ,ヨルシカ,15
晴る,ヨルシカ,14
トレモロ,RADWIMPS,14
水平線,back number,14
ray,BUMP OF CHICKEN,13
なないろ,BUMP OF CHICKEN,13
sailing day,BUMP OF CHICKEN,13
チェリー,スピッツ,13
マリーゴールド,あいみょん,13
アイネクライネ,米津玄師,12
千本桜,黒うさP,12
ロミオとシンデレラ,doriko,12
ブルーバード,いきものがかり,12
残酷な天使のテーゼ,高橋洋子,12
カルマ,BUMP OF CHICKEN,11
タッチ,岩崎良美,11
美しい鰭,スピッツ,11
空に歌えば,amazarashi,10
夜咄ディセイブ,じん,10
ドーナツホール,ハチ,10
結晶,ミナミイズミ,10
オリオンをなぞる,UNISON SQUARE GARDEN,10
ロビンソン,スピッツ,10
ただ君に晴れ,ヨルシカ,9
からくりピエロ,40mP (take3),9
アイデンティティ,サカナクション,9
CHE.R.RY,Yui,9
シュガーソングとビターステップ,UNISON SQUARE GARDEN,9
紅蓮華,LiSA,9
again,YUI,9
丸の内サディスティック,椎名林檎,9
シルエット,kana-boon,9
Lemon,米津玄師,9
ミカヅキ,さユり,9
花の塔,さユり,9
怪獣の花唄,Vaundy,9
スターライト,amazarashi,8
斜陽,ヨルシカ,8
有心論,RADWIMPS,8
若者のすべて,フジファブリック,8
弱虫モンブラン,DECO*27,8
Calc.,ジミーサムP,8
気まぐれロマンティック,いきものがかり,8
花に亡霊,ヨルシカ,8
サムライハート,SPYAIR,8
ウィーアー！,きただにひろし,8
高嶺の花子さん,back number,8
夏色,ゆず,8
ダイヤモンド,BUMP OF CHICKEN,7
青のすみか,キタニタツヤ,7
火星人,ヨルシカ,7
embrace,BUMP OF CHICKEN,7
月虹,BUMP OF CHICKEN,7
話がしたいよ,BUMP OF CHICKEN,7
unravel,TK from 凛として時雨,7
トリノコシティ,40mP,7
星間飛行,ランカリー,7
アンパンマンのマーチ,ドリーミング,7
Break through,ミナミイズミ,7
ハルジオン,BUMP OF CHICKEN,6
涙のふるさと,BUMP OF CHICKEN,6
だから僕は音楽を辞めた,ヨルシカ,6
セプテンバーさん,RADWIMPS,6
真っ赤な空を見ただろうか,BUMP OF CHICKEN,6
プレゼント,BUMP OF CHICKEN,6
ダンデライオン,BUMP OF CHICKEN,6
夜明けと蛍,ナブナ,6
東京テディベア,Neru,6
サマータイムレコード,じん,6
忘れられないの,サカナクション,6
ふわふわ時間,放課後ティータイム,6
ノーザンクロス,シェリルノーム,6
God knows...,涼宮ハルヒ,6
めざせポケモンマスター,松本梨香,6
ココロのちず,BOYSTYLE,6
わたがし,back number,6
インフェルノ,Mrs. GREEN APPLE,6
新宝島,サカナクション,6
ピースサイン,米津玄師,6
ハナミズキ,一青窈,6
strawberry,BUMP OF CHICKEN,5
アンサー,BUMP OF CHICKEN,5
ワンルーム叙事詩,amazarashi,5
ナモナキヒト,amazarashi,5
夏空,Galileo Galilei,5
Aurora,BUMP OF CHICKEN,5
ギルド,BUMP OF CHICKEN,5
ヒッチコック,ヨルシカ,5
夜行,ヨルシカ,5
春泥棒,ヨルシカ,5
雨晴るる,ヨルシカ,5
靴の花火,ヨルシカ,5
爆弾魔,ヨルシカ,5
思想犯,ヨルシカ,5
才悩人応援歌,BUMP OF CHICKEN,5
花の名,BUMP OF CHICKEN,5
ホリデイ,BUMP OF CHICKEN,5
Flare,BUMP OF CHICKEN,5
宝石になった日,BUMP OF CHICKEN,5
航海の唄,さユり,5
ぐるぐる,ミナミイズミ,5
世界に一つだけの花,SMAP,5
欲望に満ちた青年団,ONE OK ROCK,5
大声ダイヤモンド,AKB48,5
まちがいさがし,菅田将暉,5
幸せ,back number,5
アイロニー,ミナミイズミ,5
Catch the Moment,LiSA,5
おやすみ泣き声、さよなら歌姫,クリープハイプ,5
ウォーミングアップ基礎練習,,5
ドライフラワー,優里,5
心做し,蝶々P,5
SOUVENIR,BUMP OF CHICKEN,4
pinkie,BUMP OF CHICKEN,4
記念撮影,,4
メーデー,BUMP OF CHICKEN,4
レム,BUMP OF CHICKEN,4
フィロソフィー,amazarashi,4
青い栞,Galileo Galilei,4
ゼロ,BUMP OF CHICKEN,4
八月、某、月明かり,ヨルシカ,4
又三郎,ヨルシカ,4
盗作,ヨルシカ,4
おしゃかしゃま,RADWIMPS,4
飴玉の唄,BUMP OF CHICKEN,4
fire sign,BUMP OF CHICKEN,4
ラフメイカー,BUMP OF CHICKEN,4
GO,BUMP OF CHICKEN,4
Butterfly,BUMP OF CHICKEN,4
サザンクロス,BUMP OF CHICKEN,4
モザイクロール,DECO*27,4
小夜子,みきとP,4
サリシノハラ,みきとP,4
シリョクケンサ,40mP,4
ハロ／ハワユ,ナノウ,4
