video_id,video_url,author_name,author_channel_id,timestamp_lines,setlist_comment_text
NhGrb8nfxm8,https://www.youtube.com/watch?v=NhGrb8nfxm8,@Estsanatlehi,UCz_0IN7t6tkfFlMO7BCEwyQ,17,"セトリ再現歌枠おつかれさまでした。「Hello, world!」が好きなので聴けてよかったです。
[見返し用]
00:07:00 開幕
・昨日の「FM802 ROCK FESTIVAL RADIO CRAZY 2025」に出演したBUMP OF CHICKENのセトリ順に歌う
・寒さと乾燥に注意

01. アカシア             00:13:28 - 00:17:45 
02. Hello, world!       00:18:07 - 00:22:17 
03. SOUVENIR          00:22:27 - 00:26:48 
04. クロノスタシス 00:27:05 - 00:32:41 
05. strawberry          00:32:56 - 00:38:13 
　　　BUMPのライブ紹介⇒自分のライブ紹介
06. I                            00:40:42 - 00:44:46 
07. 車輪の唄             00:45:17 - 00:49:34 
　　　(前曲)ギターで初めて弾き語りできるようになったBUMP曲
08. 天体観測             00:50:40 - 00:54:51 
en.01. ray                  00:55:34 - 01:00:30 
 
[トークパート]
BUMP語り
01:02:34 ライブ紹介
01:04:18 このあと休憩を挟んで弾き語り配信予定
01:05:44 もう一曲歌うか？(不発)
01:07:11 年末年始スケジュールの話(プリーズリッスン)
01:13:52 ついカッとなって108曲歌枠を企画した
01:14:37 エンディング
01:15:08 閉幕"
2t1agIpQuWM,https://www.youtube.com/watch?v=2t1agIpQuWM,@Estsanatlehi,UCz_0IN7t6tkfFlMO7BCEwyQ,28,"ライブのセトリ再現お疲れさまでした！今回歌ってくれた曲では太陽が一番素敵だなって思いました。
[見返し用]
6:43 開幕
　自己紹介、昨日のコラボの話、BUMPの話(ライブ音源リリース、ライブの思い出、次のライブについて、etc)
  
[セットリスト]
24:46 - 28:41 01. Sleep Walking Orchestra
29:38 - 34:33 02. アンサー
　アンサーは2日目だけ演奏された曲(1日目はAurora)
36:18 -  40:44 03. なないろ
　pinkie はセットリストに入るとヤバイ
41:25 -  45:50 04. pinkie
　pinkie はアルバムには入ってない(HAPPYのc/w)、47:03 記念撮影のイントロめっちゃ練習した
47:34 - 52:41 05. 記念撮影
　BUMPには美しいアルペジオの曲が多い、53:27 キャラバンが大好きでオリ曲で踏襲した曲がある、55:26 ‍‍メメ様リダイレクト組合流、56:35 ‍‍メメ様登場
56:56 - 1:02:00 06. 邂逅
　邂逅の原曲聴いて(CD音源の2番のAメロ後半がおすすめ)
1:03:32 - 1:08:53 07. Strawberry 
　限界化
1:10:54 - 1:17:18 08. 太陽
　この曲に太陽ってタイトルつけるのが一番すごい
1:19:10 - 1:24:20 09. メーデー
　唯一ドラムソロがある曲
1:25:13 - 1:30:00 10. レム
　ユグドラシルとSphery Rendezvousのレムを聴き比べてほしい、Sphery Rendezvous で一番すごいのはレム、限界化
1:37:00 - 1:41:56 11. SOUVENIR (配信が一瞬飛ぶトラブル⇒少し巻き戻し 1:40:16)
1:42:28 - 1:46:19 12. アカシア 
1:47:28 - 1:52:41 13. Gravity
1:53:39 - 1:57:56 14. 木漏れ日と一緒に
　歌詞朗読魔(2番朗読で限界化)、藤原基央は概念的存在
2:00:51 - 2:05:43 15. ray
2:07:30 - 2:14:41 16. 窓の中から
　ライブのチケット当たらなかったらどうしよう⇒当たってるから！⇒限界化、2:17:11 8月のBUMP全曲配信紹介

[アンコール]
2:20:19 - 2:25:39 en.01 you were here
　2024ライブから伸びた時間の上を一年間歩いている
2:27:53 - 2:33:33 en.02 ガラスのブルース
2:34:52 - 2:40:07 en.03 花の名

[トークパート]
2:40:17 完走！、BUMPの話(ライブ行きたい、DVD早く見たい、ライブの思い出、etc)
2:48:58 スケジュールの話、2:50:22 12/12 アワステ出演(ラジオ番組でアーカイブ残らない)
2:54:07 Mock,mock、グッズ、12/24のコラボ紹介
2:55:56 エンディング
2:56:14 閉幕"
oPnoS1kgUjM,https://www.youtube.com/watch?v=oPnoS1kgUjM,@Estsanatlehi,UCz_0IN7t6tkfFlMO7BCEwyQ,49,"amazarashi 22曲弾き語りお疲れさまでした。楽しかったよ。
 
[自分用]
5:26 開幕

12:53 #1 境界線 / amazarashi
    17:56 

20:40 #2 ナイトメア / amazarashi
    24:44 

25:09 #3 黎明期 / amazarashi
    29:18 

30:34 #4 痛覚 / amazarashi
    35:19 

36:20 #5 アダプテット / amazarashi
    42:06 

43:20 #6 アンチノミー / amazarashi
    47:48 配信が止まるトラブル発生
    48:38 少し巻き戻して再開
    50:17 

53:54 #7 ワンルーム叙事詩 / amazarashi
    59:00 

1:00:04 #8 ナモナキヒト / amazarashi
    1:05:37 

1:06:54 #9 風に流離い / amazarashi
    1:11:36 

1:12:30 #10 性善説 / amazarashi
    1:18:52 

1:19:49 #11 多数決 / amazarashi
    1:24:33 

1:32:27 #12 逃避行 / amazarashi
    1:36:28 

1:37:03 #13 美しき思い出 / amazarashi
    1:43:24 

1:44:08 #14 もう一度 / amazarashi
    1:49:25 

1:50:25 #15 とどめを刺して / amazarashi
    1:55:22 アカペラあり

1:56:38 #16 空洞空洞 / amazarashi
    2:01:50 

2:07:06 #17 アンアライブ / amazarashi
    2:03:27 演奏前トーク
    2:11:32 

2:11:45 #18 1.0 / amazarashi
   2:17:16 アカペラあり

2:17:45  #19 スターライト / amazarashi
    2:22:30 

2:22:55 #20 フィロソフィー / amazarashi
    2:27:39 

2:27:46 #21 空に歌えば / amazarashi
    2:32:16 

2:32:22 #22 季節は次々死んでいく / amazarashi
    2:38:44 

2:54:51 閉幕"
pnxeFZFreFU,https://www.youtube.com/watch?v=pnxeFZFreFU,@KC9O-0506,UCFSgZn-eeJd7-lfav3ds4sw,11,"Setlist 2025 09 28 (22.02)
8:35 Start
18:35 夏空 
26:10 クライマー
29:47 サークルゲーム
35:28 恋の寿命
40:46 明日へ
46:26 バナナフィッシュの浜辺と黒い虹
52:16 ハローグッバイ
57:08 四ツ葉さがしの旅人
1:02:05 僕から君へ
1:12:23 青い栞"
zmo2hLXfBNU,https://www.youtube.com/watch?v=zmo2hLXfBNU,@banchanc,UC6bj7k_Ka3YJrUEMWKcZbfg,22,"Talk list
28:16 チケット当たらなかった
1:00:37 ライブの光の演出について
1:06:53 「逢いたかったぜ」で会えるんですよ
1:10:30 当時の私は「ギルド」の本当の良さがわからなかった
1:17:30 ライブで歌詞を変えてくれる話  
1:22:13 つらい時に支えてもらった曲
1:40:35 ライブアレンジの違いについて
1:45:36 歌詞替えと好きな歌詞について
1:48:49 乗車権のイントロのライブアレンジ
2:01:41 最後のコーラスについて
2:35:36 初ライブに連れて行ってくれたお姉さんの話
2:42:14 今後どんな「BUMP OF CHICKEN」縛りがいいと思う？
2:48:20 2回目以降どんなライブに行ったか
2:53:58 対バン終わりの友達に話を聞く予定だったが。。。My Grandma's birthday party
2:57:01 ライブハウスは行けましたか？
3:00:14 思い出した。この日チャマさんが投げたペットボトルの水か掛かった
3:04:58 藤原さんの誕生日と「はじめてのチュウ」を歌ってくれた話
3:08:00 STADIUM TOUR 2016 ""BFLY"" のセトリ
3:10:05 ライブに行ったセトリ縛りで順番にやっていこうかな
3:12:43 スケジュール
3:13:24 今日の窓の外のお月様は2015/7/30の初めてライブに行った日のものです

1:07:01 今日の名言「チケットの倍率上がってもいいから、みんなにBUMP OF CHICKENの良さをわかってもらったらうれしい」"
ISFNqCgF9X8,https://www.youtube.com/watch?v=ISFNqCgF9X8,@KC9O-0506,UCFSgZn-eeJd7-lfav3ds4sw,19,"Thanks for the BUMP OF CHICKEN only singing stream today
Setlist 2025 09 20 (23.37)
4:05 Start
14:45 ダイヤモンド
20:25 天体観測
25:33 ハルジオン
31:26 sailing day
35:55 ロストマン
42:04 オンリーロンリーグローリー
47:02 車輪の唄
52:22 カルマ
56:53 涙のふるさと
1:02:14 メーデー
1:08:59 R.I.P.
1:15:26 firefly
1:21:15 ファイター
1:28:23 Aurora
1:34:29 アカシア
1:39:41 なないろ
1:45:08 ギルド
1:51:45 ゼロ"
qKisy4gc13A,https://www.youtube.com/watch?v=qKisy4gc13A,@errand_oarfish,UCQKNrFSAZuT6-567Z2L8F4g,15,"キタニタツヤさん弾き語り歌枠セットリスト

0:16:15 ♪ 悪魔の踊り方
0:20:50 ♪ PINK
0:29:33 ♪ デッドウェイト
0:33:27 ♪ rapport
0:36:56 ♪ スカー
0:42:27 ♪ ちはる
0:47:45 ♪ デマゴーグ
0:53:38 ♪ 白無垢
0:59:05 ♪ 波に名前を付けること、僕らの呼吸に終わりがあること。
1:05:44 ♪ ずうっといっしょ！
1:09:33 ♪ 人間みたいね
1:15:45 ♪ ナイトルーティーン
1:21:15 ♪ 芥の部屋は錆色に沈む
1:51:53 ♪ 青のすみか

EX. 1:35:00 shorts動画公開録音"
qIM8iww9zQQ,https://www.youtube.com/watch?v=qIM8iww9zQQ,@mancalledhero,UCLTHQZ3uDoNkrlndQmEz8xA,30,"Set List
00:20:40 八月、某、月明かり
00:25:49 夕凪、某、花惑い
00:29:48 詩書きとコーヒー
00:34:43 春ひさぎ
00:38:37 言って。
00:42:40 ヒッチコック
00:49:06 夜行
00:52:55 五月は花緑青の窓辺から
00:56:15 夜紛い
01:00:42 春泥棒
01:06:08 雨とカプチーノ
01:10:35 雨晴るる
01:15:23 ブレーメン
01:20:28 斜陽
01:24:15 花人局
01:29:48 チノカテ
01:36:08 忘れてください
01:39:38 ノーチラス
01:46:06 花二亡霊
01:50:32 靴の花火
01:57:15 レプリカント
02:01:17 爆弾魔
02:05:03 心に穴が空いた
02:09:44 思想犯
02:14:09 だから僕は音楽を辞めた
02:18:25 又三郎
02:22:36 ただ君に晴れ
02:31:55 盗作
02:35:59 火星人
02:40:18 晴る

Thank you for your beautiful singing!"
2DyAXgJtpJM,https://www.youtube.com/watch?v=2DyAXgJtpJM,@inula-ab3,UCe235R0vJL4LxEgJKONuF6w,13,"Setlist
01. 00:22:48 ~ 00:27:01  前前前世
02. 00:27:32 ~ 00:31:23  DADA
03. 00:31:34 ~ 00:34:52  光
04. 00:45:01 ~ 00:50:15  五月の蝿
05. 00:52:30 ~ 00:55:44  おしゃかしゃま
06. 00:55:51 ~ 00:58:58  君と羊と青
07. 00:59:05 ~ 01:03:18  会心の一撃
08. 01:03:25 ~ 01:06:50  魔法鏡
09. 01:15:26 ~ 01:19:38  最大公約数
10. 01:19:43 ~ 01:24:23  セプテンバーさん
11. 01:24:32 ~ 01:29:08  me me she
12. 01:29:36 ~ 01:33:35  有心論
13. 01:34:10 ~ 01:37:16  トレモロ"
BRYJKfmxHvY,https://www.youtube.com/watch?v=BRYJKfmxHvY,@inula-ab3,UCe235R0vJL4LxEgJKONuF6w,66,"BUMP OF CHICKENを全曲弾き語りします-前編-     :    1~71
BUMPを全曲歌います-後編-     :    72~137  ↓

072.   00:12:03 ~ 00:13:29   voyager 
073.   00:14:03 ~ 00:18:38   メーデー 
074.   00:18:52 ~ 00:22:54   才悩人応援歌
075.   00:25:04 ~ 00:29:41   プラネタリウム 
076.   00:29:53 ~ 00:35:02   supernova 
077.   00:35:38 ~ 00:39:42   ハンマーソングと痛みの塔 
078.   00:40:20 ~ 00:45:21   時空かくれんぼ 
079.   00:45:40 ~ 00:49:35   かさぶたぶたぶ 
080.   00:51:59 ~ 00:57:07   花の名 

081.   00:57:20 ~ 01:01:27   ひとりごと 
082.   01:01:56 ~ 01:07:55   飴玉の唄 
083.   01:08:16 ~ 01:11:29   カルマ 
084.   01:15:24 ~ 01:21:35   arrows 
085.   01:21:47 ~ 01:26:26   涙のふるさと 
086.   01:26:35 ~ 01:28:09   flyby 
087.   01:31:44 ~ 01:35:23   東京賛歌 
088.   01:35:51 ~ 01:39:41   真っ赤な空を見ただろうか 
089.   01:41:19 ~ 01:47:57   銀河鉄道 
090.   01:48:10 ~ 01:52:51   プレゼント 

091.   02:04:04 ~ 02:08:17   オンリー ロンリー グローリー
092.   02:08:43 ~ 02:11:30   乗車権
093.   02:12:34 ~ 02:17:43   ギルド 
094.   02:17:57 ~ 02:23:24   embrace 
095.   02:23:44 ~ 02:27:22   sailing day
096.   02:30:19 ~ 02:35:03   同じドアをくぐれたら 
097.   02:35:19 ~ 02:39:48   車輪の唄 
098.   02:40:02 ~ 02:45:40   スノースマイル 
099.   02:46:48 ~ 02:50:43   レム 
100.   02:55:27 ~ 02:59:48   fire sign 

101.   03:01:16 ~ 03:07:08   太陽 
102.   03:07:30 ~ 03:12:37   ロストマン 
103.   03:17:51 ~ 03:22:21   夢の飼い主 
104.   03:22:46 ~ 03:26:48   睡眠時間 
105.   03:27:04 ~ 03:30:25   ホリデイ 
106.   03:42:48 ~ 03:47:16   Stage of the ground
107.   03:47:46 ~ 03:51:35   天体観測 
108.   03:53:56 ~ 03:58:40   Title of mine
109.   03:58:57 ~ 04:02:14   キャッチボール 
110.   04:02:27 ~ 04:06:39   ハルジオン 

111.   04:07:43 ~ 04:12:59   ベンチとコーヒー 
112.   04:13:17 ~ 04:18:49   メロディーフラッグ 
113.   04:22:07 ~ 04:26:29   ベル 
114.   04:26:53 ~ 04:31:38   ダイヤモンド 
115.   04:32:14 ~ 04:35:01   ダンデライオン 
116.   04:45:23 ~ 04:48:44   彼女と星の椅子 
117.   04:48:54 ~ 04:53:06   バイバイサンキュー 
118.   04:53:18 ~ 04:56:49   ラフ・メイカー 
119.   05:09:41 ~ 05:10:45   Opening 
120.   05:10:55 ~ 05:14:48   グングニル 

121.   05:14:58 ~ 05:19:25   ベストピクチャー 
122.   05:19:37 ~ 05:24:27   続・くだらない唄 
123.   05:24:37 ~ 05:28:50   LAMP
124.   05:29:09 ~ 05:32:52   K 
125.   05:33:05 ~ 05:37:49   リリィ 
126.   05:38:44 ~ 05:44:27   Ever lasting lie 
127.   05:44:38 ~ 05:47:26   グロリアスレボリューション 
128.   05:52:58 ~ 05:54:14   Ending 
129.   05:59:26 ~ 06:04:49   ガラスのブルース 
130.   06:05:03 ~ 06:08:24   くだらない唄

131.   06:08:34 ~ 06:12:11   アルエ 
132.   06:12:28 ~ 06:16:58   リトルブレイバー 
133.   06:17:15 ~ 06:20:54   ノーヒットノーラン 
134.   06:22:01 ~ 06:26:23   とっておきの唄 
135.   06:26:37 ~ 06:31:31   ナイフ 
136.   06:34:55 ~ 06:39:00   バトルクライ 
137.   06:39:30 ~ 06:42:20   BUMP OF CHICKENのテーマ"
